metrics,query,galago,anserini,galago_best,anserini_best,abs_diff
map,enwiki:Aftertaste,0.5,0.5,0.0,0.0,0.0
Rprec,enwiki:Aftertaste,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Aftertaste,0.5,0.5,0.0,0.0,0.0
P_20,enwiki:Aftertaste,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Aftertaste,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Aftertaste,0.6309,0.6309,0.0,0.0,0.0
map,enwiki:Aftertaste/Aftertaste%20processing%20in%20the%20cerebral%20cortex,0.2571,0.2661,-0.009000000000000008,0.009000000000000008,0.009000000000000008
Rprec,enwiki:Aftertaste/Aftertaste%20processing%20in%20the%20cerebral%20cortex,0.5,0.5,0.0,0.0,0.0
recip_rank,enwiki:Aftertaste/Aftertaste%20processing%20in%20the%20cerebral%20cortex,0.5,0.5,0.0,0.0,0.0
P_20,enwiki:Aftertaste/Aftertaste%20processing%20in%20the%20cerebral%20cortex,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Aftertaste/Aftertaste%20processing%20in%20the%20cerebral%20cortex,0.5,0.5,0.0,0.0,0.0
ndcg_cut_20,enwiki:Aftertaste/Aftertaste%20processing%20in%20the%20cerebral%20cortex,0.3869,0.3869,0.0,0.0,0.0
map,enwiki:Aftertaste/Distinguishing%20aftertaste%20and%20flavor,0.1696,0.1696,0.0,0.0,0.0
Rprec,enwiki:Aftertaste/Distinguishing%20aftertaste%20and%20flavor,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Aftertaste/Distinguishing%20aftertaste%20and%20flavor,0.3333,0.3333,0.0,0.0,0.0
P_20,enwiki:Aftertaste/Distinguishing%20aftertaste%20and%20flavor,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Aftertaste/Distinguishing%20aftertaste%20and%20flavor,0.5,0.5,0.0,0.0,0.0
ndcg_cut_20,enwiki:Aftertaste/Distinguishing%20aftertaste%20and%20flavor,0.3066,0.3066,0.0,0.0,0.0
map,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Artificial%20sweeteners,0.1667,0.5,-0.33330000000000004,0.33330000000000004,0.33330000000000004
Rprec,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Artificial%20sweeteners,0.0,0.0,0.0,0.0,0.0
recip_rank,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Artificial%20sweeteners,0.1667,0.5,-0.33330000000000004,0.33330000000000004,0.33330000000000004
P_20,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Artificial%20sweeteners,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Artificial%20sweeteners,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Artificial%20sweeteners,0.3562,0.6309,-0.2747,0.2747,0.2747
map,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Wine,1.0,1.0,0.0,0.0,0.0
Rprec,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Wine,1.0,1.0,0.0,0.0,0.0
recip_rank,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Wine,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Wine,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Wine,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Wine,1.0,1.0,0.0,0.0,0.0
map,enwiki:Aftertaste/Taste%20receptor%20dynamics,0.5,0.75,-0.25,0.25,0.25
Rprec,enwiki:Aftertaste/Taste%20receptor%20dynamics,0.5,0.5,0.0,0.0,0.0
recip_rank,enwiki:Aftertaste/Taste%20receptor%20dynamics,0.5,1.0,-0.5,0.5,0.5
P_20,enwiki:Aftertaste/Taste%20receptor%20dynamics,0.1,0.1,0.0,0.0,0.0
recall_40,enwiki:Aftertaste/Taste%20receptor%20dynamics,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Aftertaste/Taste%20receptor%20dynamics,0.6509,0.8772,-0.22629999999999995,0.22629999999999995,0.22629999999999995
map,enwiki:Aftertaste/Temporal%20taste%20perception,0.471,0.4704,0.0005999999999999894,-0.0005999999999999894,0.0005999999999999894
Rprec,enwiki:Aftertaste/Temporal%20taste%20perception,0.5,0.25,0.25,-0.25,0.25
recip_rank,enwiki:Aftertaste/Temporal%20taste%20perception,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Aftertaste/Temporal%20taste%20perception,0.15,0.15,0.0,0.0,0.0
recall_40,enwiki:Aftertaste/Temporal%20taste%20perception,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Aftertaste/Temporal%20taste%20perception,0.6674,0.6589,0.008499999999999952,-0.008499999999999952,0.008499999999999952
map,enwiki:Aftertaste/Temporal%20taste%20perception/Variability%20of%20human%20taste%20perception,0.25,0.3333,-0.08329999999999999,0.08329999999999999,0.08329999999999999
