metrics,query,galago,anserini,galago_best,anserini_best,abs_diff
map,enwiki:Rancidification,0.0833,1.0,-0.9167,0.9167,0.9167
map,enwiki:Olive%20oil/Nutrition,0.125,1.0,-0.875,0.875,0.875
map,enwiki:Antimicrobial%20resistance/Organisms/Bacteria/Klebsiella%20pneumoniae,0.1667,1.0,-0.8333,0.8333,0.8333
map,enwiki:Hydrogenation/Thermodynamics%20and%20mechanism,0.25,1.0,-0.75,0.75,0.75
map,enwiki:Water%20fluoridation%20controversy/Evidence,0.25,1.0,-0.75,0.75,0.75
map,enwiki:IPv4%20address%20exhaustion/Exhaustion%20dates%20and%20impact/Notable%20exhaustion%20advisories,0.25,1.0,-0.75,0.75,0.75
map,enwiki:Seawater%20greenhouse,0.3333,1.0,-0.6667000000000001,0.6667000000000001,0.6667000000000001
map,enwiki:Precipitation/Forecasting,0.3333,1.0,-0.6667000000000001,0.6667000000000001,0.6667000000000001
map,enwiki:Probiotic/Research/Urinary%20tract,0.3333,1.0,-0.6667000000000001,0.6667000000000001,0.6667000000000001
map,enwiki:Quinoa/Biology/Saponin%20content,0.4167,1.0,-0.5832999999999999,0.5832999999999999,0.5832999999999999
map,enwiki:Juche/Concepts/Kimilsungism%E2%80%93Kimjongilism,0.01,0.5667,-0.5567,0.5567,0.5567
map,enwiki:Malolactic%20fermentation/Wine%20faults,0.1758,0.7101,-0.5343,0.5343,0.5343
map,enwiki:Supercapacitor/Applications/Energy%20recovery,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Hippocampus/Pathology/Transient%20global%20amnesia,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Taste/Further%20sensations%20and%20transmission/Heartiness%20(kokumi),0.5,1.0,-0.5,0.5,0.5
map,enwiki:Migrant%20domestic%20workers/Regulations%20and%20conventions,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Reclaimed%20water/Design%20considerations/Reclamation%20processes/Alternatives/Seawater%20desalination,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Supercapacitor/Applications/General/Voltage%20stabilizer,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Antibiotics/Research/Phage%20therapy,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Librarianship%20and%20human%20rights/Notable%20organizations,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Water%20fluoridation%20controversy/Court%20cases/United%20States,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Electron%20precipitation/Process/Ozone%20Depletion,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Timbre/Synonyms,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Migrant%20domestic%20workers/Vulnerability%20to%20abuse/Dependency%20on%20the%20employer,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Cash%20crop/Per%20climate%20zones/Subtropical,0.5,1.0,-0.5,0.5,0.5
map,enwiki:Reclaimed%20water/Examples/Israel,0.1667,0.5667,-0.4,0.4,0.4
map,enwiki:Sustainability/Measurement,0.1776,0.5667,-0.3891,0.3891,0.3891
map,enwiki:Cardiovascular%20disease/Prevention,0.1265,0.5035,-0.377,0.377,0.377
map,enwiki:Child%20labour/Child%20labour%20incidents/H&M%20and%20Zara,0.125,0.5,-0.375,0.375,0.375
map,enwiki:World%20Health%20Organization/Structure/Assembly%20and%20Executive%20Board,0.125,0.5,-0.375,0.375,0.375
map,enwiki:Superfood,0.2101,0.5667,-0.3566,0.3566,0.3566
map,enwiki:Juche/Concepts/%22Great%20Leader%22%20theory,0.1667,0.5204,-0.3537,0.3537,0.3537
map,enwiki:Division%20of%20labour,0.1694,0.5105,-0.3411,0.3411,0.3411
map,enwiki:Superfood/Potential%20health%20effects,0.1937,0.5345,-0.3408,0.3408,0.3408
map,enwiki:Fair%20trade%20cocoa/Child%20labour,0.1683,0.5022,-0.3339,0.3339,0.3339
map,enwiki:Non-governmental%20organization/Types/Track%20II%20diplomacy,0.1667,0.5,-0.33330000000000004,0.33330000000000004,0.33330000000000004
map,enwiki:Aftertaste/Foods%20with%20distinct%20aftertastes/Artificial%20sweeteners,0.1667,0.5,-0.33330000000000004,0.33330000000000004,0.33330000000000004
map,enwiki:Effects%20of%20global%20warming/Scientific%20opinion/NASA%20data%20and%20tools,0.1667,0.5,-0.33330000000000004,0.33330000000000004,0.33330000000000004
map,enwiki:Ionic%20compound/Properties/Brittleness,0.1667,0.5,-0.33330000000000004,0.33330000000000004,0.33330000000000004
map,enwiki:Gardening/Garden%20pests,0.2976,0.625,-0.3274,0.3274,0.3274
map,enwiki:Atmospheric%20entry/Entry%20vehicle%20shapes/Sphere%20or%20spherical%20section,0.3409,0.6667,-0.3258,0.3258,0.3258
map,enwiki:Recreational%20fishing/Industry,0.1083,0.4286,-0.3203,0.3203,0.3203
map,enwiki:History%20of%20catecholamine%20research/Formation%20and%20destruction,0.0972,0.4167,-0.3195,0.3195,0.3195
map,enwiki:Kidney%20stone%20disease/Diagnosis/Classification/Calcium-containing%20stones,0.0159,0.3333,-0.3174,0.3174,0.3174
map,enwiki:Tsunami/Scales%20of%20intensity%20and%20magnitude/Magnitude%20scales,0.0321,0.3402,-0.3081,0.3081,0.3081
map,enwiki:Coconut%20oil/Production/Hydrogenation,0.2786,0.5833,-0.3047,0.3047,0.3047
map,enwiki:Crustacean,0.0381,0.342,-0.3039,0.3039,0.3039
map,enwiki:Perception/Features/Constancy,0.2,0.5,-0.3,0.3,0.3
map,enwiki:Reclaimed%20water/Design%20considerations/Reclamation%20processes/Alternatives/Rainwater%20harvesting,0.2,0.5,-0.3,0.3,0.3
map,enwiki:Electron%20precipitation/Measurement%20Methods/Satellite%20measurements/GOMOS,0.2,0.5,-0.3,0.3,0.3
map,enwiki:Beach%20nourishment/Environmental%20issues/Sea%20turtles,0.2,0.5,-0.3,0.3,0.3
map,enwiki:Chili%20pepper/Species%20and%20cultivars,0.0606,0.345,-0.2844,0.2844,0.2844
map,enwiki:Antioxidant/Metabolites,0.0806,0.3608,-0.2802,0.2802,0.2802
map,enwiki:Aquaculture%20of%20salmonids/Issues/Impact%20on%20forage%20fish,0.0568,0.33399999999999996,-0.2772,0.2772,0.2772
map,enwiki:Anti-Slavery%20International/Anti-Slavery%20Award,0.0667,0.3333,-0.2666,0.2666,0.2666
map,enwiki:Electric%20car/Terminology,0.0769,0.3333,-0.2564,0.2564,0.2564
map,enwiki:Wetland/Uses%20of%20wetlands/Shoreline%20stabilisation%20and%20storm%20protection,0.109,0.3636,-0.2546,0.2546,0.2546
map,enwiki:Wildlife%20management/History/Game%20laws,0.084,0.3359,-0.2519,0.2519,0.2519
map,enwiki:Organic%20farming/Methods/Tools,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Aftertaste/Taste%20receptor%20dynamics,0.5,0.75,-0.25,0.25,0.25
map,enwiki:Perception/Types/Of%20the%20social%20world,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Fudge/As%20gifts,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Atmospheric%20entry/Shock%20layer%20gas%20physics,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Antioxidant/Metabolites/Glutathione,0.25,0.5,-0.25,0.25,0.25
map,"enwiki:Millennium%20Development%20Goals/Background/Human%20capital,%20infrastructure%20and%20human%20rights",0.0833,0.3333,-0.25,0.25,0.25
map,enwiki:Sustainability/Social%20dimension/Human%20and%20labor%20rights,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Ionic%20compound/Properties/Compressibility,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Hybrid%20electric%20vehicle/Classification/Plug-in%20hybrids%20(PHEVs),0.25,0.5,-0.25,0.25,0.25
map,enwiki:Atmospheric%20entry/Entry%20vehicle%20shapes/Biconic,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Crustacean/Consumption%20by%20humans,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Disgust/Functions,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Dehumidifier/Applications/Industrial%20processes,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Olive%20oil/Regulation/Commercial%20grades/United%20States,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Antioxidant/Uses%20in%20technology/Food%20preservatives,0.1667,0.4167,-0.25,0.25,0.25
map,enwiki:Natural%20resource/Classification,0.0833,0.3333,-0.25,0.25,0.25
map,enwiki:Insular%20cortex/Clinical%20significance/Subjective%20certainty%20in%20ecstatic%20seizures,0.25,0.5,-0.25,0.25,0.25
map,enwiki:Water%20fluoridation%20controversy/History/Communist%20conspiracy%20theory%20(1940s%E2%80%931960s),0.0837,0.3328,-0.2491,0.2491,0.2491
map,enwiki:Migrant%20domestic%20workers/Improving%20the%20conditions%20of%20migrant%20domestic%20workers/Challenges%20to%20collective%20action,0.2685,0.5172,-0.2487,0.2487,0.2487
map,enwiki:Theophylline/Pharmacokinetics/Distribution,0.0909,0.3333,-0.2424,0.2424,0.2424
map,enwiki:Brain%20damage/Prognosis,0.2619,0.5,-0.2381,0.2381,0.2381
map,enwiki:Elaeis%20guineensis,0.0179,0.25,-0.2321,0.2321,0.2321
map,enwiki:Georgism/Criticism,0.1393,0.3678,-0.2285,0.2285,0.2285
map,enwiki:Malolactic%20fermentation,0.0678,0.2872,-0.2194,0.2194,0.2194
map,enwiki:Traveler's%20diarrhea/Causes,0.1141,0.3312,-0.2171,0.2171,0.2171
map,enwiki:Global%20catastrophic%20risk/Organizations,0.2119,0.4275,-0.2156,0.2156,0.2156
map,enwiki:Antioxidant/Uses%20in%20technology/Industrial%20uses,0.0357,0.25,-0.2143,0.2143,0.2143
map,enwiki:Talent%20agent/Difference%20between%20agents%20and%20managers,0.215,0.4245,-0.2095,0.2095,0.2095
map,enwiki:Antioxidant/Metabolites/Uric%20acid,0.2444,0.4529,-0.2085,0.2085,0.2085
map,enwiki:Air%20ioniser/Ionic%20air%20purifiers,0.0687,0.2763,-0.2076,0.2076,0.2076
map,enwiki:Yellowstone%20National%20Park/Geology/Earthquakes,0.1728,0.3798,-0.207,0.207,0.207
map,enwiki:Atmospheric%20entry,0.2,0.4009,-0.2009,0.2009,0.2009
map,enwiki:Aztec%20cuisine/Drink/%C4%80t%C5%8Dlli,0.0,0.2,-0.2,0.2,0.2
map,enwiki:Urban%20sprawl/Effects/Social,0.0647,0.2601,-0.1954,0.1954,0.1954
map,enwiki:Urban%20sprawl/Debate/Groups%20that%20oppose%20sprawl,0.0588,0.25,-0.1912,0.1912,0.1912
map,enwiki:Supercapacitor/Applications/Energy%20recovery/Railway,0.1429,0.3333,-0.1904,0.1904,0.1904
map,enwiki:Water%20well/Environmental%20problems,0.1429,0.3333,-0.1904,0.1904,0.1904
map,enwiki:Urban%20sprawl,0.1442,0.3333,-0.1891,0.1891,0.1891
map,enwiki:Satoyama/In%20popular%20culture,0.2559,0.4432,-0.1873,0.1873,0.1873
map,enwiki:Environmental%20resource%20management/Sustainability,0.1825,0.3667,-0.18420000000000006,0.18420000000000006,0.18420000000000006
map,enwiki:Lactobacillales,0.0161,0.2,-0.1839,0.1839,0.1839
map,enwiki:Meantone%20temperament,0.2667,0.45,-0.1833,0.1833,0.1833
map,enwiki:Atmospheric%20entry/Entry%20vehicle%20design%20considerations,0.1034,0.2866,-0.18320000000000006,0.18320000000000006,0.18320000000000006
map,enwiki:Supercapacitor/Styles,0.0714,0.25,-0.17859999999999998,0.17859999999999998,0.17859999999999998
map,enwiki:Exhaust%20gas%20recirculation/EGR%20implementations,0.0344,0.2109,-0.1765,0.1765,0.1765
map,enwiki:Supernova/Etymology,0.0286,0.2,-0.1714,0.1714,0.1714
map,enwiki:Avocado/History,0.1695,0.3393,-0.16979999999999998,0.16979999999999998,0.16979999999999998
map,enwiki:Ionic%20compound/Nomenclature,0.1731,0.3427,-0.1696,0.1696,0.1696
map,enwiki:Permaculture/Common%20practices/Agroforestry,0.0921,0.2614,-0.1693,0.1693,0.1693
map,enwiki:Supernova/Current%20models/Asymmetry,0.0879,0.2567,-0.16879999999999998,0.16879999999999998,0.16879999999999998
map,enwiki:Avocado/Cultivation/Cultivation%20in%20Mexico,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Traveler's%20diarrhea/Treatment/Antimotility%20agents,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Lactobacillales/Exopolysaccharides,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Olfaction/Disorders,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Deforestation/Control/Monitoring%20deforestation,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Purified%20water,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Human%20trafficking/Modern%20feminist%20perspectives,0.3905,0.5572,-0.1667,0.1667,0.1667
map,enwiki:Environmental%20resource%20management/Aspects/Ethical/Anthropocentrism,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Taste/Other%20concepts/Supertasters,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Atmosphere%20of%20Earth/Circulation,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Drinking%20bird/Alternative%20operation,0.0833,0.25,-0.1667,0.1667,0.1667
map,enwiki:Taste/Further%20sensations%20and%20transmission/Numbness,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Geomagnetic%20reversal/Causes/Hypothesized%20triggers,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Storm%20surge/SLOSH,0.3333,0.5,-0.1667,0.1667,0.1667
map,enwiki:Urban%20sprawl/Examples,0.054000000000000006,0.2207,-0.1667,0.1667,0.1667
map,enwiki:Satoyama/Conservation,0.8333,1.0,-0.16669999999999996,0.16669999999999996,0.16669999999999996
map,enwiki:Atmospheric%20entry/Entry%20vehicle%20shapes/Non-axisymmetric%20shapes,0.5,0.6667,-0.16669999999999996,0.16669999999999996,0.16669999999999996
map,enwiki:Water%20scarcity/Measurement,0.6667,0.8333,-0.16660000000000008,0.16660000000000008,0.16660000000000008
map,enwiki:Insular%20cortex/Clinical%20significance/Addiction,0.1667,0.3333,-0.1666,0.1666,0.1666
map,enwiki:Antioxidant/Health%20effects/Physical%20exercise,0.1667,0.3333,-0.1666,0.1666,0.1666
map,enwiki:Kidney%20stone%20disease/Pathophysiology/Supersaturation%20of%20urine,0.0955,0.2616,-0.1661,0.1661,0.1661
map,enwiki:Supercapacitor/Materials/Electrodes/Electrodes%20for%20hybrid%20capacitors/Composite%20electrodes,0.1739,0.3391,-0.1652,0.1652,0.1652
map,enwiki:Hippocampus/Physiology/Theta%20rhythm,0.1875,0.35,-0.16249999999999998,0.16249999999999998,0.16249999999999998
map,enwiki:Non-governmental%20organization/Activities/Public%20relations,0.0385,0.2,-0.1615,0.1615,0.1615
map,enwiki:Christmas%20pudding,0.0909,0.25,-0.15910000000000002,0.15910000000000002,0.15910000000000002
map,enwiki:Rancidification/Reducing%20rancidification,0.0493,0.2063,-0.15700000000000006,0.15700000000000006,0.15700000000000006
map,enwiki:Exhaust%20gas%20recirculation,0.0496,0.2037,-0.1541,0.1541,0.1541
map,enwiki:Millennium%20Development%20Goals/Related%20activities/organisations/Libraries%20and%20the%20Millennium%20Development%20Goals,0.0141,0.168,-0.1539,0.1539,0.1539
map,enwiki:Wetland/Uses%20of%20wetlands/Constructed%20wetlands,0.1032,0.254,-0.1508,0.1508,0.1508
map,enwiki:Gustatory%20cortex,0.1,0.25,-0.15,0.15,0.15
map,enwiki:Supernova/Naming%20convention,0.1025,0.2524,-0.14990000000000006,0.14990000000000006,0.14990000000000006
map,enwiki:Precipitation/Formation/Ice%20pellets,0.1806,0.3269,-0.1463,0.1463,0.1463
map,enwiki:Coevolution/Specific%20examples/Hummingbirds%20and%20ornithophilous%20flowers,0.1805,0.3266,-0.1461,0.1461,0.1461
map,enwiki:Hot%20chocolate/Usage/Europe,0.6111,0.7556,-0.14450000000000007,0.14450000000000007,0.14450000000000007
